class,a0:f3:c1:a4:fb:6c,7e:d1:c3:cc:00:8e,06:de:2b:21:1e:1f,00:1e:58:be:53:88,64:70:02:4c:37:8a,7c:d1:c3:cc:00:8e,1c:bd:b9:ab:a9:70,f8:d1:11:a0:ba:b0,00:1c:57:88:3f:60,00:1c:57:88:3f:61,00:22:75:f2:74:bb,00:1c:57:88:3f:62,00:0c:f6:f0:b9:e8,00:15:f2:6a:df:f0,00:1c:57:88:34:c1,00:1c:57:88:34:c0,00:1c:57:88:34:c2
right1,0.0,0.0,0.177,0.577,0.4,0.0,0.222,0.0,0.488,0.422,0.2,0.422,0.0,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.177,0.355,0.288,0.0,0.222,0.0,0.488,0.422,0.4,0.422,0.0,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.177,0.422,0.333,0.0,0.222,0.0,0.488,0.422,0.444,0.422,0.0,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.177,0.355,0.222,0.0,0.222,0.0,0.488,0.422,0.555,0.422,0.0,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.355,0.2,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.422,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.355,0.2,0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.422,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.355,0.2,0.0,0.0,0.0,0.0,0.0,0.622,0.0,0.555,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.666,0.288,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.644,0.0,0.955,0.288,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.644,0.0,0.622,0.222,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.4,0.155,0.0,0.0,0.0,0.0,0.0,0.555,0.0,0.488,0.311,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.333,0.311,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.466,0.311,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.422,0.266,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.488,0.311,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.288,0.377,0.0,0.0,0.0,0.0,0.0,0.555,0.0,0.488,0.288,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.311,0.288,0.0,0.0,0.0,0.0,0.0,0.533,0.0,0.377,0.288,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.311,0.288,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.266,0.288,0.0,0.0,0.0
right1,0.0,0.0,0.0,0.355,0.311,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.266,0.288,0.0,0.0,0.0
right1,0.0,0.0,0.133,0.511,0.288,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.222,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.155,0.377,0.288,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.222,0.0,0.0,0.0,0.0
right1,0.0,0.0,0.155,0.577,0.422,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.222,0.0,0.0,0.0,0.0
left2,0.466,0.266,0.177,0.533,0.6,0.2,0.688,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.422,0.2,0.0,0.644,0.822,0.288,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.466,0.311,0.0,0.466,0.733,0.288,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.444,0.4,0.0,0.4,0.511,0.377,0.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.577,0.422,0.0,0.4,0.422,0.422,0.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.6,0.511,0.0,0.4,0.311,0.488,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.644,0.511,0.0,0.4,0.311,0.488,0.311,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.8,0.111,0.0,0.0,0.288,0.133,0.311,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.888,0.111,0.0,0.0,0.288,0.133,0.311,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.822,0.111,0.0,0.0,0.288,0.133,0.222,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.844,0.111,0.0,0.0,0.288,0.133,0.222,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.844,0.0,0.0,0.0,0.288,0.0,0.222,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.844,0.0,0.0,0.0,0.2,0.0,0.266,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.822,0.0,0.0,0.0,0.177,0.0,0.266,0.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,1.0,0.0,0.0,0.0,0.177,0.0,0.266,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.711,0.0,0.0,0.0,0.266,0.0,0.288,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.866,0.0,0.0,0.0,0.311,0.0,0.288,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.911,0.0,0.0,0.0,0.311,0.0,0.377,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.977,0.0,0.0,0.0,0.177,0.0,0.333,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.822,0.133,0.0,0.0,0.288,0.177,0.377,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.777,0.377,0.0,0.4,0.4,0.377,0.488,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.711,0.377,0.0,0.355,0.488,0.377,0.466,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.6,0.422,0.0,0.288,0.577,0.444,0.555,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.444,0.355,0.0,0.288,0.533,0.355,0.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.355,0.2,0.0,0.488,0.888,0.2,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left2,0.355,0.311,0.0,0.755,1.0,0.266,0.866,0.0,0.266,0.177,0.0,0.177,0.266,0.0,0.311,0.2,0.333
left2,0.177,0.311,0.0,0.866,0.644,0.266,0.711,0.0,0.266,0.177,0.0,0.177,0.266,0.0,0.311,0.2,0.333
right2,0.377,0.311,0.0,0.4,0.333,0.266,0.333,0.0,0.177,0.222,0.0,0.2,0.333,0.0,0.311,0.2,0.333
right2,0.0,0.0,0.266,0.444,0.288,0.0,0.533,0.0,0.177,0.222,0.0,0.222,0.311,0.0,0.177,0.0,0.155
right2,0.222,0.0,0.266,0.444,0.266,0.0,0.311,0.0,0.177,0.222,0.222,0.222,0.288,0.0,0.177,0.0,0.155
right2,0.222,0.0,0.266,0.444,0.266,0.0,0.177,0.0,0.177,0.222,0.222,0.222,0.422,0.0,0.177,0.0,0.155
right2,0.222,0.0,0.266,0.444,0.266,0.0,0.177,0.0,0.0,0.0,0.288,0.222,0.377,0.0,0.177,0.0,0.155
right2,0.222,0.0,0.0,0.0,0.266,0.0,0.177,0.0,0.0,0.0,0.288,0.0,0.533,0.0,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.266,0.0,0.177,0.0,0.0,0.0,0.288,0.0,0.533,0.0,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.266,0.0,0.177,0.0,0.0,0.0,0.533,0.0,0.733,0.355,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.422,0.0,0.711,0.355,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511,0.0,0.666,0.422,0.0,0.0,0.0
right2,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,0.711,0.422,0.0,0.0,0.0
right2,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.777,0.377,0.0,0.0,0.0
right2,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.0,0.955,0.444,0.0,0.0,0.0
right2,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777,0.0,0.733,0.466,0.0,0.0,0.0
right2,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0,1.0,0.444,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,0.977,0.555,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.0,0.866,0.644,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.0,0.733,0.333,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.6,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.933,0.666,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.666,0.0,0.777,0.577,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,0.733,0.0,0.666,0.488,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.644,0.0,0.822,0.311,0.0,0.0,0.0
right2,0.111,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.0,0.511,0.0,0.755,0.333,0.0,0.0,0.0
right2,0.111,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.355,0.0,0.533,0.288,0.0,0.0,0.0
right2,0.111,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,0.377,0.0,0.466,0.311,0.0,0.0,0.0
right2,0.111,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,0.377,0.0,0.533,0.288,0.0,0.0,0.0
right2,0.111,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,0.355,0.0,0.355,0.266,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,0.355,0.0,0.377,0.266,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.222,0.0,0.266,0.0,0.0,0.0,0.333,0.0,0.333,0.266,0.0,0.0,0.0
right2,0.0,0.0,0.0,0.0,0.222,0.0,0.266,0.0,0.0,0.0,0.333,0.0,0.2,0.266,0.0,0.0,0.0
